Time_min,Media Port,PR North,PR East,Boyawan,Dijing Huayuan
76.0,1.7558368172550247e-19,6.308077801443908e-21,2.2047953721208765e-21,3.0606971119975017e-19,2.7788430595237847e-21
76.5,1.401580813756026e-19,5.141868942853994e-21,1.804180812836974e-21,2.437024378460506e-19,2.2779325487843153e-21
77.0,1.1176357659995145e-19,4.185854601294488e-21,1.4743980210704403e-21,1.938485673151547e-19,1.8647553990142123e-21
77.5,8.903058107259634e-20,3.4032743837394464e-21,1.2033253993448083e-21,1.540411719544234e-19,1.5244677370703134e-21
78.0,7.085056077019542e-20,2.7635653514574666e-21,9.80834168235567e-22,1.2228990750789178e-19,1.244631698185279e-21
78.5,5.632753341410854e-20,2.2413643908196073e-21,7.984771371941831e-22,9.69911010825749e-20,1.0148465276473007e-21
79.0,4.473830456422809e-20,1.8156616245878826e-21,6.492228114011294e-22,7.685432734155652e-20,8.264320576363471e-22
79.5,3.5499925997096304e-20,1.4690839223093155e-21,5.272288816244753e-22,6.084255296552465e-20,6.72157953560343e-22
80.0,2.8143111678413635e-20,1.1872900812348245e-21,4.276497948195749e-22,4.812342398401187e-20,5.460127901446603e-22
80.5,2.229055791498696e-20,9.584615419531456e-22,3.4647371024828083e-22,3.8029686266351036e-20,4.430076518193229e-22
81.0,1.763929245065002e-20,7.728745764428876e-22,2.803847056612059e-22,3.0027077791838603e-20,3.5900954721988995e-22
81.5,1.3946327061545085e-20,6.225417467602532e-22,2.266466091383869e-22,2.3688322356408357e-20,2.9060047935648994e-22
82.0,1.1017013751438988e-20,5.009120902367718e-22,1.8300529470442688e-22,1.8672096869440706e-20,2.34958518970076e-22
82.5,8.695609569696604e-21,4.026209545811764e-22,1.4760669519966466e-22,1.470604591142213e-20,1.8975768829505547e-22
83.0,6.857642520776952e-21,3.2328169793209183e-22,1.1892815632092535e-22,1.1573084262870788e-20,1.5308387670380101e-22
83.5,5.4037437246783715e-21,2.5931259971109113e-22,9.572108403038576e-23,9.100366240781619e-21,1.233643802907543e-22
84.0,4.254671261208729e-21,2.0779331323613383e-22,7.696312679683898e-23,7.150414630447411e-21,9.930898678483078e-23
84.5,3.347300988468024e-21,1.6634604532137344e-22,6.181838767521384e-23,5.613995799061797e-21,7.986081809832242e-23
85.0,2.63140077251096e-21,1.3303738573070818e-22,4.9604382377299605e-23,4.404404621564772e-21,6.415539839877416e-23
85.5,2.0670384475939165e-21,1.0629734374651148e-22,3.976465150534315e-23,3.4528860007635575e-21,5.1486638984852203e-23
86.0,1.6225016677269799e-21,8.485269266424854e-23,3.1846101142902264e-23,2.7049714248719502e-21,4.127862559496527e-23
86.5,1.2726306406372212e-21,6.767218708746594e-23,2.5480288975160202e-23,2.1175511857818135e-21,3.3062262116352644e-23
87.0,9.97483419558675e-22,5.392161277190775e-23,2.036799578406621e-23,1.6565372566907813e-21,2.6455969877071525e-23
87.5,7.812686902551085e-22,4.29269637002839e-23,1.6266527045821944e-23,1.294999792119265e-21,2.1149766489343622e-23
88.0,6.114934342202742e-22,3.4144324301241735e-23,1.2979278731355081e-23,1.0116829230226057e-21,1.6892155055969197e-23
88.5,4.782829764899166e-22,2.713527354851468e-23,1.0347177327524765e-23,7.898239310878298e-22,1.3479345719085438e-23
